year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,0
2020,cancers,20,female,total,0
2020,cancers,25,female,total,31
2020,cancers,30,female,total,77
2020,cancers,35,female,total,134
2020,cancers,40,female,total,152
2020,cancers,45,female,total,171
2020,cancers,50,female,total,160
2020,cancers,55,female,total,180
2020,cancers,60,female,total,131
2020,cancers,65,female,total,90
2020,cancers,70,female,total,51
2020,cancers,75,female,total,31
2020,cancers,80,female,total,12
2020,cancers,85,female,total,9
