location,sex,partner_count_bin,probability
rwanda,f,0,0.1602136181575434
rwanda,f,1,0.1732680611185284
rwanda,f,2,0.14797507788161993
rwanda,f,3,0.11808337041981902
rwanda,f,4,0.09479305740987984
rwanda,f,5,0.07402462542649459
rwanda,f,6,0.0567794095831479
rwanda,f,7,0.04035009642486278
rwanda,f,8,0.03182020471740098
rwanda,f,9,0.022251891410769914
rwanda,f,10,0.015984275330069724
rwanda,f,11,0.013610740246254265
rwanda,f,12,0.009902091677792612
rwanda,f,13,0.007268951194184839
rwanda,f,14,0.006230529595015576
rwanda,f,15,0.004784156653315532
rwanda,f,16,0.003894080996884735
rwanda,f,17,0.0031523512831924047
rwanda,f,18,0.002818572912030856
rwanda,f,19,0.0018543242842308262
rwanda,f,20,0.010940513276961874
india,f,0,0.9025184541901867
india,f,1,0.005861919235779418
india,f,2,0.004863221884498481
india,f,3,0.005080330004342162
india,f,4,0.004906643508467217
india,f,5,0.005340859748154581
india,f,6,0.00364741641337386
india,f,7,0.004646113764654798
india,f,8,0.004429005644811116
india,f,9,0.0037776812852800693
india,f,10,0.003603994789405124
india,f,11,0.002692140686061659
india,f,12,0.0020842379504993486
india,f,13,0.0027789839339991316
india,f,14,0.002344767694311767
india,f,15,0.0024750325662179764
india,f,16,0.0017802865827181936
india,f,17,0.00182370820668693
india,f,18,0.0013460703430308294
india,f,19,0.0017368649587494573
india,f,20,0.03226226660877117
